"Cigarette Use Prevalence % (Focus group)","frequency"
"16.2","212"
"3.0","9"
"14.0","129"
"39.4","24"
"27.5","65"
"46.8","7"
"47.2","17"
"37.0","56"
"18.0","144"
"7.8","162"
"23.6","109"
"40.3","20"
"47.3","14"
"46.2","7"
"15.4","196"
"17.4","165"
"21.0","146"
"31.0","42"
"6.7","96"
"24.0","121"
"47.0","1"
"33.9","59"
"14.3","133"
"32.7","52"
"15.7","166"
"2.5","6"
"10.6","143"
"59.3","4"
"42.8","25"
"18.8","150"
"53.4","2"
"12.7","124"
"32.6","53"
"19.3","160"
"34.1","82"
"3.2","3"
"16.9","162"
"41.4","46"
"34.9","38"
"11.7","132"
"19.5","161"
"42.7","69"
"27.0","59"
"11.9","160"
"37.2","34"
"30.4","61"
"40.8","26"
"4.7","42"
"12.9","179"
"39.9","27"
"9.5","158"
"20.1","171"
"21.6","156"
"7.1","104"
"25.6","97"
"7.0","82"
"40.4","36"
"49.6","4"
"39.2","36"
"9.2","112"
"28.4","85"
"47.7","10"
"11.1","164"
"31.6","46"
"41.5","39"
"6.3","87"
"20.3","125"
"28.0","56"
"11.0","154"
"35.5","40"
"41.0","22"
"34.4","64"
"47.4","7"
"12.1","177"
"37.5","36"
"14.7","175"
"30.3","64"
"33.2","71"
"33.6","57"
"11.4","195"
"26.5","72"
"20.7","117"
"22.5","113"
"17.6","155"
"53.3","2"
"33.3","75"
"19.4","171"
"37.4","30"
"40.6","27"
"27.8","69"
"2.8","2"
"45.3","10"
"13.2","148"
"25.5","73"
"19.2","227"
"34.8","61"
"31.5","63"
"41.3","59"
"41.9","13"
"24.6","97"
"23.2","111"
"2.1","2"
"7.3","95"
"7.2","90"
"2.2","14"
"17.7","171"
"44.5","22"
"17.9","172"
"30.9","62"
"21.4","116"
"29.5","31"
"24.5","81"
"5.4","44"
"54.4","2"
"13.8","174"
"42.3","58"
"28.2","92"
"52.0","1"
"50.8","6"
"7.9","97"
"15.2","231"
"13.6","162"
"19.9","141"
"43.4","17"
"20.8","151"
"31.7","39"
"33.7","30"
"45.7","6"
"6.8","104"
"46.1","14"
"6.9","93"
"8.7","144"
"42.2","34"
"16.6","171"
"14.5","148"
"12.8","175"
"26.0","66"
"40.2","16"
"12.3","175"
"25.7","76"
"29.4","45"
"26.2","71"
"6.2","78"
"14.1","148"
"3.6","5"
"24.7","101"
"4.0","21"
"44.9","10"
"21.8","135"
"41.7","21"
"32.3","59"
"24.8","99"
"47.1","4"
"15.9","160"
"55.2","2"
"18.3","169"
"13.3","150"
"6.0","85"
"11.5","136"
"13.9","146"
"32.9","34"
"20.4","126"
"21.9","178"
"52.1","2"
"36.4","59"
"18.9","186"
"13.1","139"
"38.8","66"
"13.7","169"
"6.4","73"
"26.8","114"
"53.0","2"
"25.4","78"
"10.0","159"
"20.9","130"
"4.8","25"
"43.1","8"
"16.7","196"
"19.0","180"
"36.1","48"
"30.1","44"
"17.0","161"
"42.9","12"
"42.5","24"
"16.1","171"
"11.8","146"
"34.0","48"
"39.0","45"
"44.4","11"
"37.8","48"
"45.5","2"
"23.8","101"
"25.0","123"
"3.8","10"
"21.7","146"
"29.9","60"
"27.3","73"
"41.6","21"
"60.2","3"
"48.2","4"
"41.8","9"
"31.9","48"
"12.0","179"
"40.0","20"
"47.6","14"
"53.2","4"
"44.8","17"
"19.7","140"
"25.2","110"
"43.0","45"
"24.4","91"
"42.0","19"
"31.3","51"
"9.4","158"
"43.7","41"
"6.1","72"
"45.2","19"
"22.3","109"
"33.4","60"
"26.1","93"
"35.7","26"
"4.4","12"
"14.8","132"
"23.9","90"
"50.2","5"
"20.6","152"
"21.5","148"
"35.8","58"
"35.1","60"
"40.9","10"
"28.8","42"
"8.5","148"
"23.7","83"
"27.1","66"
"30.2","44"
"8.9","153"
"35.4","50"
"33.0","44"
"9.1","173"
"5.6","46"
"40.1","28"
"2.4","2"
"34.7","51"
"31.8","46"
"50.9","2"
"11.2","174"
"45.1","5"
"36.8","38"
"15.3","165"
"23.1","103"
"24.2","85"
"26.6","75"
"45.9","7"
"23.0","117"
"14.2","166"
"51.3","1"
"22.0","127"
"40.7","18"
"27.2","80"
"14.6","160"
"29.3","97"
"7.6","114"
"25.8","70"
"34.5","55"
"12.6","154"
"18.7","199"
"37.7","47"
"13.0","161"
"3.4","5"
"9.9","178"
"12.4","142"
"42.4","36"
"32.2","57"
"32.4","53"
"19.6","140"
"16.3","176"
"19.1","145"
"38.7","34"
"22.2","142"
"44.0","34"
"46.0","4"
"27.9","49"
"41.1","35"
"16.0","180"
"25.3","82"
"43.6","14"
"39.7","36"
"4.1","17"
"42.1","23"
"31.4","32"
"45.6","12"
"9.8","141"
"35.9","52"
"18.1","203"
"44.6","12"
"8.8","193"
"7.5","105"
"48.7","15"
"8.2","148"
"38.1","35"
"25.1","73"
"31.2","58"
"20.5","130"
"38.6","47"
"19.8","208"
"22.7","98"
"48.5","4"
"10.2","198"
"16.8","187"
"14.9","140"
"50.4","12"
"15.0","125"
"8.6","167"
"22.1","96"
"9.7","165"
"28.6","65"
"34.6","57"
"5.8","72"
"13.5","94"
"10.3","139"
"17.8","158"
"32.5","49"
"28.7","67"
"29.7","51"
"15.6","153"
"37.6","46"
"8.4","197"
"26.9","55"
"45.8","15"
"28.1","75"
"9.3","125"
"36.2","46"
"20.0","158"
"6.5","116"
"43.8","33"
"49.5","4"
"33.1","55"
"32.0","48"
"38.4","54"
"51.6","3"
"28.5","47"
"29.1","62"
"11.6","153"
"2.3","2"
"23.3","90"
"36.0","36"
"38.2","38"
"29.8","67"
"37.1","52"
"4.2","43"
"9.6","195"
"45.4","11"
"5.7","58"
"7.7","138"
"26.7","95"
"29.0","39"
"17.3","171"
"13.4","138"
"44.1","15"
"39.6","23"
"49.7","2"
"12.5","107"
"30.6","50"
"33.5","52"
"8.1","209"
"43.2","1"
"30.8","60"
"25.9","71"
"10.8","163"
"49.3","8"
"35.3","20"
"52.9","4"
"27.4","63"
"38.3","45"
"42.6","30"
"51.0","6"
"36.5","60"
"3.3","13"
"9.0","226"
"37.9","32"
"17.2","204"
"5.9","51"
"32.1","39"
"28.9","51"
"17.5","123"
"36.6","23"
"34.2","58"
"39.1","27"
"52.3","4"
"3.7","10"
"18.6","174"
"18.2","161"
"23.5","114"
"36.9","29"
"5.5","57"
"31.1","61"
"43.5","17"
"5.1","51"
"21.1","115"
"5.3","28"
"10.5","163"
"22.9","105"
"24.9","92"
"46.3","16"
"38.9","58"
"46.6","9"
"8.0","125"
"3.5","3"
"5.2","49"
"22.8","134"
"48.3","7"
"4.9","23"
"44.3","9"
"51.8","3"
"4.3","7"
"17.1","201"
"53.1","12"
"28.3","68"
"6.6","73"
"26.3","66"
"14.4","200"
"32.8","48"
"35.6","40"
"39.5","23"
"27.6","60"
"24.1","101"
"24.3","73"
"29.6","65"
"15.1","156"
"47.9","5"
"20.2","135"
"30.0","49"
"21.3","117"
"44.2","18"
"11.3","161"
"4.5","27"
"4.6","13"
"29.2","53"
"22.4","156"
"18.5","182"
"43.3","14"
"8.3","188"
"45.0","4"
"40.5","40"
"33.8","67"
"39.8","45"
"36.7","60"
"16.4","183"
"26.4","62"
"50.5","4"
"2.6","6"
"38.5","32"
"61.5","3"
"27.7","65"
"10.4","130"
"16.5","176"
"46.7","20"
"10.7","174"
"10.9","142"
"35.2","44"
"30.7","57"
"15.8","150"
"5.0","30"
"23.4","104"
"22.6","133"
"7.4","106"
"43.9","7"
"12.2","109"
"15.5","153"
"21.2","125"
"36.3","58"
"38.0","35"
"39.3","32"
"3.9","19"
"46.9","6"
"18.4","152"
"44.7","8"
"10.1","126"
"41.2","46"
"30.5","42"
"37.3","33"
"35.0","76"
"34.3","68"
