"year","avg_cigarette_use_focus","avg_cigarette_use_reference"
2011,"22.9253498727735369","22.9253498727735369"
2012,"22.3697956577266922","22.3697956577266922"
2013,"22.0981950601646612","22.0981950601646612"
2014,"21.2409646302250804","21.2409646302250804"
2015,"20.5354031209362809","20.5354031209362809"
2016,"20.1729121050985299","20.1704097591492024"
2017,"19.9379044684129430","19.9411093990755008"
2018,"19.2591905051734632","19.2591905051734632"
2019,"18.8599812850904554","18.8599812850904554"
2020,"17.8043668122270742","17.8043668122270742"
2021,"16.5736022871664549","16.5736022871664549"
2022,"15.9159900062460962","15.9159900062460962"
